step,intersection,time_of_day,phase_used,duration,queue_ns,queue_ew,served_ns,served_ew,throughput,avg_wait_proxy,stops,emergency,explanation
354,2,afternoon,NS,12.260906038102597,0,2,7,0,7,1.0,2,False,"Neural policy: queues NS/EW=(4,0), time=afternoon, emergency=False"
355,0,afternoon,NS,12.26181803464253,0,2,7,0,7,1.0,2,False,"Neural policy: queues NS/EW=(3,0), time=afternoon, emergency=False"
355,1,afternoon,EW,12.387936773417751,4,0,0,6,6,2.0,4,False,"Neural policy: queues NS/EW=(0,2), time=afternoon, emergency=False"
355,2,afternoon,EW,12.387936773417751,2,0,0,4,4,1.0,2,False,"Neural policy: queues NS/EW=(0,2), time=afternoon, emergency=False"
356,0,afternoon,EW,12.390058740388904,4,0,0,4,4,2.0,4,False,"Neural policy: queues NS/EW=(0,2), time=afternoon, emergency=False"
356,1,afternoon,NS,12.265201947256354,0,4,7,0,7,2.0,4,False,"Neural policy: queues NS/EW=(4,0), time=afternoon, emergency=False"
356,2,afternoon,NS,12.262453763589244,0,3,6,0,6,1.5,3,False,"Neural policy: queues NS/EW=(2,0), time=afternoon, emergency=False"
357,0,afternoon,NS,12.266711818884417,0,4,6,0,6,2.0,4,False,"Neural policy: queues NS/EW=(4,0), time=afternoon, emergency=False"
357,1,afternoon,EW,12.380048068335473,3,0,0,8,8,1.5,3,False,"Neural policy: queues NS/EW=(0,4), time=afternoon, emergency=False"
357,2,afternoon,EW,12.38583170151345,2,0,0,6,6,1.0,2,False,"Neural policy: queues NS/EW=(0,3), time=afternoon, emergency=False"
358,0,afternoon,EW,12.382607324539375,3,0,0,8,8,1.5,3,False,"Neural policy: queues NS/EW=(0,4), time=afternoon, emergency=False"
358,1,afternoon,NS,12.267758175580763,0,4,7,0,7,2.0,4,False,"Neural policy: queues NS/EW=(3,0), time=afternoon, emergency=False"
358,2,afternoon,NS,12.266384636193251,0,3,5,0,5,1.5,3,False,"Neural policy: queues NS/EW=(2,0), time=afternoon, emergency=False"
359,0,afternoon,NS,12.269964606773183,0,3,5,0,5,1.5,3,False,"Neural policy: queues NS/EW=(3,0), time=afternoon, emergency=False"
359,1,afternoon,EW,12.384875901388398,2,0,0,7,7,1.0,2,False,"Neural policy: queues NS/EW=(0,4), time=afternoon, emergency=False"
359,2,afternoon,EW,12.390659872695583,2,0,0,7,7,1.0,2,False,"Neural policy: queues NS/EW=(0,3), time=afternoon, emergency=False"
360,0,afternoon,EW,12.393335182191816,2,0,0,5,5,1.0,2,False,"Neural policy: queues NS/EW=(0,3), time=afternoon, emergency=False"
360,1,afternoon,NS,12.271122328740141,0,2,4,0,4,1.0,2,False,"Neural policy: queues NS/EW=(2,0), time=afternoon, emergency=False"
360,2,afternoon,NS,12.271122328740141,0,2,4,0,4,1.0,2,False,"Neural policy: queues NS/EW=(2,0), time=afternoon, emergency=False"
361,0,afternoon,NS,12.272627819531976,0,3,5,0,5,1.5,3,False,"Neural policy: queues NS/EW=(2,0), time=afternoon, emergency=False"
361,1,afternoon,EW,12.4006636738539,2,0,0,4,4,1.0,2,False,"Neural policy: queues NS/EW=(0,2), time=afternoon, emergency=False"
361,2,afternoon,EW,12.4006636738539,4,0,0,6,6,2.0,4,False,"Neural policy: queues NS/EW=(0,2), time=afternoon, emergency=False"
362,0,afternoon,EW,12.396439037003347,2,0,0,6,6,1.0,2,False,"Neural policy: queues NS/EW=(0,3), time=afternoon, emergency=False"
362,1,afternoon,NS,12.27410020545928,0,3,6,0,6,1.5,3,False,"Neural policy: queues NS/EW=(2,0), time=afternoon, emergency=False"
362,2,afternoon,NS,12.276853615469642,0,4,6,0,6,2.0,4,False,"Neural policy: queues NS/EW=(4,0), time=afternoon, emergency=False"
363,0,afternoon,NS,12.27608244077173,0,4,6,0,6,2.0,4,False,"Neural policy: queues NS/EW=(2,0), time=afternoon, emergency=False"
363,1,afternoon,EW,12.39847717273753,2,0,0,5,5,1.0,2,False,"Neural policy: queues NS/EW=(0,3), time=afternoon, emergency=False"
363,2,afternoon,EW,12.39269265716154,2,0,0,7,7,1.0,2,False,"Neural policy: queues NS/EW=(0,4), time=afternoon, emergency=False"
364,0,afternoon,EW,12.395003290813463,3,0,0,7,7,1.5,3,False,"Neural policy: queues NS/EW=(0,4), time=afternoon, emergency=False"
